year,brand,color,carbon_fiber_body,engine_config,horsepower,torque,weight_kg,zero_to_60_s,top_speed_mph,num_doors,transmission,drivetrain,market_region,mileage,num_owners,interior_material,brake_type,tire_brand,aero_package,limited_edition,has_warranty,last_service_date,service_history,non_original_parts,model,warranty_years,damage,damage_cost,damage_type,price,id
2023,McLaren,Silver,1,Hybrid,1045,794,1897,3.63,227,2,automatic,AWD,Middle East,18774,2,leather,steel,Continental,0,0,0,2024-08-15,authorized,0,600LT,0,1,83632.0,major,329510.72,wn8zA4ADUC
2024,Aston Martin,Black,1,W16,879,510,2193,2.72,247,2,manual,RWD,Middle East,11717,3,suede,steel,Michelin,1,0,0,2025-03-29,none,1,Valhalla,0,0,,,509289.91,m5EyycSRrS
2022,Koenigsegg,White,1,V12,609,489,1277,3.16,236,2,manual,AWD,Europe,4794,3,suede,steel,Continental,0,0,0,2025-06-30,authorized,0,Jesko,0,1,51179.0,major,2164428.25,IOcII96Ua3
2024,Bugatti,Blue,0,V12,1044,1162,1733,2.15,248,2,manual,RWD,Europe,16229,2,leather,carbon-ceramic,Goodyear,0,0,1,2024-08-29,none,0,Chiron,1,0,,,2793655.4,qlds6yyR3r
2024,Pagani,White,0,V12,853,679,1307,2.35,247,2,manual,AWD,North America,2444,3,suede,carbon-ceramic,Pirelli,1,0,0,2025-02-21,authorized,0,Zonda,0,1,77100.0,major,2927390.0,fRR6ulIWvU
2021,Pagani,Yellow,1,W16,1242,732,1963,3.78,228,2,manual,AWD,Europe,10775,2,leather,carbon-ceramic,Bridgestone,0,0,0,2025-03-10,none,0,Zonda,0,1,53722.0,major,1668571.61,I0yKcVGE4e
2022,Aston Martin,Red,0,V8,816,623,1214,3.22,259,2,automatic,RWD,Asia,8332,3,carbon_fiber,carbon-ceramic,Bridgestone,0,1,1,2025-03-04,authorized,0,Vantage,5,0,,,315569.32,Q5BYDx70aC
2022,Pagani,White,0,Electric,1588,500,1569,3.9,228,2,automatic,AWD,North America,19248,3,alcantara,steel,Continental,0,1,0,2025-02-07,authorized,1,Huayra,0,0,,,2302537.68,EXhA1Uf9NY
2022,Aston Martin,Blue,1,Hybrid,832,531,1404,4.0,257,2,automatic,AWD,Europe,2607,3,leather,carbon-ceramic,Michelin,0,0,1,2025-02-20,authorized,0,Valhalla,5,1,88000.0,major,303939.59,AzZCBzq6dr
2024,McLaren,Black,0,V12,1091,412,2336,2.74,247,2,dual-clutch,RWD,Europe,19301,3,suede,steel,Continental,1,0,1,2024-12-14,authorized,1,600LT,2,0,,,670901.86,KE4buG4gyW
